id,full_name,nationality,passport_number,visa_type,status,risk_score,profession,employer,entry_date,exit_date,sponsor,birth_date,gender,education_level,monthly_salary,work_experience_years,previous_visits,has_violations,violations,risk_analysis
VSA-2024-0001,أحمد محمد خان,باكستاني,PK123456789,عمل,pending,25,مهندس كهربائي,شركة الطاقة الباكستانية,2024-03-01,2025-03-01,شركة الكهرباء السعودية,1990-05-15,ذكر,بكالوريوس,8500,7,2,false,[],
VSA-2024-0002,فاطمة علي حسين,مصري,EG987654321,زيارة,pending,15,طبيبة,مستشفى القاهرة,2024-02-15,2024-03-15,أخوها محمد علي,1988-11-20,أنثى,دكتوراه,18000,10,3,false,[],
VSA-2024-0003,راجيش كومار سينغ,هندي,IN456789123,عمل,pending,45,سائق,شركة النقل الهندية,2024-01-10,2025-01-10,مؤسسة النقل السريع,1985-03-08,ذكر,ثانوية,3500,12,4,true,"[{""type"":""تجاوز مدة الإقامة"",""date"":""2019-06-15"",""severity"":""متوسطة""}]",
VSA-2024-0004,عبدالرحمن يوسف,سوداني,SD789123456,حج وعمرة,pending,10,معلم,وزارة التربية السودانية,2024-02-20,2024-03-20,حملة الإيمان للحج,1975-08-12,ذكر,بكالوريوس,4000,20,1,false,[],
VSA-2024-0005,نور الهدى بنت أحمد,إندونيسي,ID321654987,عمل,pending,20,ممرضة,مستشفى جاكرتا,2024-03-05,2025-03-05,مستشفى الملك فيصل,1992-12-03,أنثى,دبلوم,6000,5,0,false,[],
VSA-2024-0006,محمد عبدالله الصومالي,صومالي,SO654987321,زيارة,pending,65,تاجر,مؤسسة الصومال للتجارة,2024-02-01,2024-04-01,قريبه أحمد محمود,1980-04-25,ذكر,ثانوية,15000,15,2,true,"[{""type"":""عمل بدون تصريح"",""date"":""2018-09-10"",""severity"":""خطيرة""}]",
VSA-2024-0007,سارة أحمد المصري,مصري,EG147258369,عمل,pending,12,محاسبة,شركة المحاسبة المصرية,2024-03-10,2025-03-10,شركة المراجعة السعودية,1991-07-18,أنثى,بكالوريوس,9000,6,1,false,[],
VSA-2024-0008,علي حسن الأفغاني,أفغاني,AF963852741,عمل,pending,55,عامل بناء,شركة البناء الأفغانية,2024-01-25,2025-01-25,مؤسسة الإعمار,1988-09-30,ذكر,ابتدائية,3000,8,3,true,"[{""type"":""مخالفة نظام العمل"",""date"":""2020-03-20"",""severity"":""متوسطة""}]",
VSA-2024-0009,ليلى محمد التركية,تركي,TR741852963,سياحة,pending,8,مصممة أزياء,دار الأزياء التركية,2024-04-01,2024-04-15,فندق الريتز كارلتون,1995-01-22,أنثى,بكالوريوس,12000,4,5,false,[],
VSA-2024-0010,عمر فاروق البنغالي,بنغالي,BD852963741,عمل,pending,35,طباخ,مطعم دكا,2024-02-28,2025-02-28,مطعم الخليج,1987-06-14,ذكر,ثانوية,4500,10,2,false,[],
VSA-2024-0011,مريم خالد الأردني,أردني,JO159753486,زيارة,pending,5,مهندسة معمارية,شركة الهندسة الأردنية,2024-03-15,2024-04-15,خالتها سمية أحمد,1993-04-08,أنثى,ماجستير,11000,5,4,false,[],
